اسم السيارة,موديل السيارة,سعر السيارة,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات,حالة الإعلان,تاريخ نشر الإعلان,تاريخ إنتهاء الإعلان,Number_of_Additions,فتحة السقف,الدفع
سيت ابيزا,موديل سنة 2010,53000 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,140000,4+1,إمكانية التقسيط,للبيع فقط,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-23,2017-10-23,7.0,1.0,
بي ام دبليو 320,موديل سنة 2007,92000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,يد ثانية,مُكيّفإغلاق مركزيمسجل CDفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-23,2017-10-23,5.0,1.0,
فولكسفاجن GTI,موديل سنة 2015,155000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,200,46000,,نقدا فقط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-23,2017-10-23,7.0,1.0,
هونداي توسان,موديل سنة 2013,90000 شيكل,فضي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,82,4+1,نقدا فقط,للبيع فقط,يد ثانيه,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-24,2017-10-24,7.0,0.0,
هونداي اكسنت,موديل سنة 2006,38000 شيكل,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-23,2017-10-23,5.0,0.0,
تويوتا تيندرا,موديل سنة 1996,8000 شيكل,كحلي,ديزل,خصوصي,نمرة صفراء,عادي,الكتروني,2500,000,4+1,نقدا فقط,للبيع فقط,1,,إعلان منتهي,2017-09-23,2017-10-23,0.0,0.0,
هونداي ix35,موديل سنة 2014,85000 شيكل,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,38000,4+1,نقدا فقط,للبيع فقط,0,مُكيّفإغلاق مركزيمسجل CDفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-24,2017-10-24,5.0,1.0,
,,,,,,,,,,,,,,,,,,,,,
اوبل كورسا,موديل سنة 2014,70000 شيكل,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,51,4+1,نقدا فقط,للبيع فقط,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-24,2017-10-24,6.0,1.0,
سكودا اوكتافيا,موديل سنة 2014,112000 شيكل,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,120000,4+1,نقدا فقط,للبيع فقط,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-24,2017-10-24,7.0,0.0,
ايسوزو تروبر,موديل سنة 1998,50000 شيكل,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,3100,280000,6+1,نقدا فقط,للبيع فقط,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-24,2017-10-24,6.0,0.0,
مرسيدس 200,موديل سنة 1978,15000 شيكل,ذهبي,بنزين,عمومي,فلسطينية,اوتوماتيك,يدوي,2000,,4+1,إمكانية التقسيط,للبيع أو التبديل,,مسجل CDجنطات مغنيسيوم,إعلان منتهي,2017-09-24,2017-11-08,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
فولكسفاجن كادي,موديل سنة 2010,68000 شيكل,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,6+1,نقدا فقط,للبيع فقط,2,مُكيّفإغلاق مركزيمسجل CDفتحة سقففرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-25,2017-10-25,5.0,1.0,
,,,,,,,,,,,,,,,,,,,,,
فولكسفاجن GTI,موديل سنة 2008,67000 شيكل,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,115,4+1,نقدا فقط,للبيع أو التبديل,يد اولي 1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-25,2017-11-09,7.0,0.0,
فولكسفاجن بولو,موديل سنة 1997,25000 شيكل,أخضر,بنزين,تأجير,فلسطينية,عادي,الكتروني,1600,,,إمكانية التقسيط,للبيع فقط,,إغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-25,2017-10-10,5.0,1.0,
بي ام دبليو 523,موديل سنة 2005,100000 شيكل,أزرق,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2300,300000,4+1,إمكانية التقسيط,للبيع أو التبديل,3,مُكيّفإغلاق مركزيمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-25,2017-11-09,6.0,1.0,
كيا سبورتاج,موديل سنة 2014,118000 شيكل,رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,٤١٠٠٠,4+1,نقدا فقط,للبيع أو التبديل,اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-25,2017-10-25,7.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
كيا ريو,موديل سنة 2010,43000 شيكل,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1500,,,إمكانية التقسيط,للبيع أو التبديل,......,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-26,2017-10-26,7.0,0.0,
فولكسفاجن كادي,موديل سنة 2014,95000 شيكل,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,120,6+1,إمكانية التقسيط,للبيع أو التبديل,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-26,2017-10-12,7.0,0.0,
اوبل استرا,موديل سنة 1995,24000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,000000,4+1,نقدا فقط,للبيع فقط,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-27,2017-10-27,6.0,0.0,
سكودا رابيد,موديل سنة 2014,86000 شيكل,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60الف,4+1,نقدا فقط,للتبديل فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-27,2017-10-12,6.0,0.0,
فولكسفاجن جولف,موديل سنة 2006,18500 شيكل,فضي,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,2000,196000,,نقدا فقط,للبيع فقط,ثانيه,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-27,2017-10-27,6.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
ستروين C-Elysee,موديل سنة 2015,60000 شيكل,أزرق,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1200,20000,4+1,إمكانية التقسيط,للبيع أو التبديل,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-09-28,2017-10-28,5.0,0.0,
هونداي اكسنت,موديل سنة 2008,37000 شيكل,رصاصي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,واحد,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-09-28,2017-10-28,5.0,0.0,
هونداي اكسنت,موديل سنة 2015,68000 شيكل,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,43000,4+1,نقدا فقط,للبيع أو التبديل,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-09-28,2017-10-28,5.0,0.0,
مرسيدس S350Long,موديل سنة 2006,260000 شيكل,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3500,274000,4+1,إمكانية التقسيط,للبيع أو التبديل,6,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-25,2017-11-24,7.0,1.0,
هونداي i30,موديل سنة 2009,58000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,١٢٠٠٠٠,٤+١,نقدا فقط,للبيع فقط,يد ثانية,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-28,2017-11-12,7.0,1.0,
اوبل كورسا,موديل سنة 2013,48000 شيكل,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-30,2017-11-14,5.0,0.0,
مرسيدس 614,موديل سنة 1996,7000 شيكل,أبيض,ديزل,خصوصي,نمرة صفراء,عادي,يدوي,3000,2000,22,نقدا فقط,للبيع فقط,1,مُكيّفإغلاق مركزيجهاز إنذار,إعلان منتهي,2017-09-30,2017-10-30,3.0,0.0,
فولكسفاجن بيتل,موديل سنة 1974,14000 شيكل,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,٠٠٠٠٠,٤+١,إمكانية التقسيط,للبيع أو التبديل,٤,جنطات مغنيسيومفرش جلد,إعلان منتهي,2017-09-30,2017-10-30,2.0,0.0,
فولكسفاجن باسات,موديل سنة 2011,100000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,136000,,نقدا فقط,للبيع أو التبديل,يد ثانيه,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-30,2017-10-30,7.0,0.0,
هوندا سيفيك,موديل سنة 2008,61000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,116000,,نقدا فقط,للبيع فقط,ثانية,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-30,2017-10-30,7.0,1.0,
دراجة نارية 2013,موديل سنة 2013,7000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,13700,1+1,إمكانية التقسيط,للبيع أو التبديل,2,,إعلان منتهي,2017-10-01,2017-10-31,0.0,0.0,
رينو كليو,موديل سنة 2011,42000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1150,132,4+1,نقدا فقط,للبيع أو التبديل,ثالثة,مُكيّفإغلاق مركزيمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-10-01,2017-10-31,4.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
اوبل كورسا,موديل سنة 2013,54000 شيكل,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,54000,4+1,إمكانية التقسيط,للبيع فقط,يد ثانية,,إعلان منتهي,2017-10-01,2017-10-31,0.0,0.0,
اوبل كورسا,موديل سنة 2016,69000 شيكل,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,40,4+1,نقدا فقط,للبيع فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-30,2017-10-15,6.0,0.0,
فولكسفاجن باسات,موديل سنة 2006,60000 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-30,2017-10-30,7.0,1.0,
,,,,,,,,,,,,,,,,,,,,,
فولكسفاجن جولف,موديل سنة 2016,112000 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,78000,4+1,إمكانية التقسيط,للبيع أو التبديل,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-10-01,2017-10-31,6.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
هونداي كليك,موديل سنة 2008,44000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,72000,4+1,نقدا فقط,للبيع فقط,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفوسادة حماية هوائية,إعلان منتهي,2017-10-02,2017-11-01,5.0,1.0,
,,,,,,,,,,,,,,,,,,,,,
ميتسوبيشي باجيرو,موديل سنة 2007,130000 شيكل,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3200,120000,6+1,إمكانية التقسيط,للبيع أو التبديل,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-01,2017-10-31,7.0,1.0,
اوبل كورسا,موديل سنة 2014,59000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,,نقدا فقط,للبيع أو التبديل,,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-10-02,2017-11-16,5.0,0.0,
سكودا اوكتافيا,موديل سنة 2012,80000 شيكل,رصاصي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1600,160000,4+1,نقدا فقط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-10-02,2017-11-01,5.0,0.0,
سكودا فابيا,موديل سنة 2003,35000 شيكل,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,4+1,نقدا فقط,للبيع فقط,اربعة,إغلاق مركزيجنطات مغنيسيوم,إعلان منتهي,2017-10-02,2017-11-01,2.0,0.0,
هونداي الانترا,موديل سنة 1999,19000 شيكل,سكني,بنزين,عمومي,فلسطينية,عادي,الكتروني,1600,12345,4+1,نقدا فقط,للبيع فقط,3,مُكيّفإغلاق مركزيمسجل CD,إعلان منتهي,2017-10-02,2017-10-17,3.0,0.0,
هونداي اكسنت,موديل سنة 2011,56500 شيكل,جيشي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,133000,,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-10-03,2017-11-02,6.0,0.0,
كيا برايد,موديل سنة 2008,46000 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,157,4+1,نقدا فقط,للبيع فقط,اولا,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-03,2017-11-02,7.0,0.0,
هونداي اكسنت,موديل سنة 2014,85000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,47 الف,4+1,إمكانية التقسيط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-03,2017-11-17,7.0,0.0,
هونداي اكسنت,موديل سنة 2009,45000 شيكل,ذهبي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,71000,4+1,نقدا فقط,للبيع فقط,يد ثانيه,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-10-03,2017-11-02,5.0,0.0,
اوبل كورسا,موديل سنة 2009,37000 شيكل,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,130000,4+1,نقدا فقط,للبيع أو التبديل,ثالثة,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-10-03,2017-11-02,6.0,0.0,
سكودا سوبيرب,موديل سنة 2013,120000 شيكل,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,132000,4+1,نقدا فقط,للبيع فقط,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-03,2017-11-02,7.0,0.0,
هونداي افانتي,موديل سنة 2005,45000 شيكل,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,000,4+1,إمكانية التقسيط,للبيع فقط,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-04,2017-11-03,7.0,1.0,
بي ام دبليو 740,موديل سنة 2007,130000 شيكل,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,4000,180000,4+1,إمكانية التقسيط,للبيع أو التبديل,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-05,2017-11-04,7.0,1.0,
سكودا فابيا,موديل سنة 2016,74500 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,47000,4+1,نقدا فقط,للبيع فقط,0,مُكيّفإغلاق مركزيجهاز إنذارجنطات مغنيسيوم,إعلان منتهي,2017-10-05,2017-11-04,4.0,0.0,
بي ام دبليو 316,موديل سنة 1989,30000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,999855,4+1,إمكانية التقسيط,للبيع أو التبديل,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-05,2017-11-04,7.0,1.0,
,,,,,,,,,,,,,,,,,,,,,
بيجو 205,موديل سنة 1998,3500 شيكل,أحمر,بنزين,خصوصي,نمرة صفراء,عادي,الكتروني,1400,,,نقدا فقط,للبيع فقط,2,مسجل CDجنطات مغنيسيومفرش جلد,إعلان منتهي,2017-10-05,2017-11-04,3.0,0.0,
سكودا اوكتافيا,موديل سنة 2006,52000 شيكل,رمادي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-07,2017-10-25,6.0,1.0,
مرسيدس S320,موديل سنة 1992,55000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3200,,,إمكانية التقسيط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-07,2017-11-21,7.0,1.0,
هونداي ix35,موديل سنة 2013,105000 شيكل,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,52000,5+1,نقدا فقط,للبيع فقط,يد ثانية,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-07,2017-10-22,7.0,1.0,
سكودا اوكتافيا,موديل سنة 2009,64000 شيكل,أبيض,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,1900,5,,نقدا فقط,للبيع فقط,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-10-07,2017-11-06,6.0,0.0,
مرسيدس E300,موديل سنة 1999,65000 شيكل,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,300,150,4+1,نقدا فقط,للبيع فقط,يد ثانية,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-07,2017-11-06,7.0,0.0,
فولكسفاجن جولف,موديل سنة 2011,95000 شيكل,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,إمكانية التقسيط,للبيع أو التبديل,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-10-07,2017-11-06,6.0,1.0,
فيات باندا,موديل سنة 2015,51000 شيكل,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,30,4+1,نقدا فقط,للبيع فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-07,2017-11-21,6.0,0.0,
هونداي i30,موديل سنة 2008,58000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,٢٥٠٠٠٠,٤+١,إمكانية التقسيط,للبيع أو التبديل,٣,مُكيّفإغلاق مركزيمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-07,2017-11-06,6.0,1.0,
سيت ليون,موديل سنة 2015,73000 شيكل,عدة الوان,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,٦٥٠٠٠,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-10-07,2017-11-06,6.0,0.0,
دايو لانوس,موديل سنة 2000,25000 شيكل,سكني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1500,,,نقدا فقط,للبيع فقط,,,إعلان منتهي,2017-10-08,2017-11-07,0.0,0.0,
اوبل كورسا,موديل سنة 2008,43000 شيكل,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,90000 كيلو,4+1,نقدا فقط,للبيع فقط,يد ثانيه,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-10-07,2017-11-06,5.0,0.0,
هونداي اكسنت,موديل سنة 2013,66500 شيكل,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,165500,4+1,إمكانية التقسيط,للبيع أو التبديل,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-07,2017-11-06,7.0,0.0,
مرسيدس 250,موديل سنة 1992,25000 شيكل,أسود,ديزل,عمومي,فلسطينية,عادي,يدوي,2500,000 كيلو متر,7+1,إمكانية التقسيط,للبيع فقط,00,مسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-08,2017-11-07,4.0,0.0,
كيا اوبتيما,موديل سنة 2014,90000 شيكل,فضي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,40000,5+1,إمكانية التقسيط,للبيع أو التبديل,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-08,2017-10-23,7.0,0.0,
بيجو بارتنر,موديل سنة 2014,78000 شيكل,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,4+1,إمكانية التقسيط,للبيع أو التبديل,0,إغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-10-08,2017-11-07,4.0,0.0,
بي ام دبليو 528,موديل سنة 1998,60000 شيكل,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2800,٢٥٦٦٦٤,٤+١,نقدا فقط,للبيع فقط,٤,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-08,2017-10-23,7.0,1.0,
فولكسفاجن جولف,موديل سنة 2012,90000 شيكل,بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,109000,,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-10-08,2017-11-07,5.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
ستروين بيكاسو C4,موديل سنة 2013,100000 شيكل,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100,6+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-10-08,2017-11-22,5.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
سوبارو نملة,موديل سنة 1984,9500 شيكل,فضي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,,نقدا فقط,للبيع فقط,,,إعلان منتهي,2017-10-09,2017-11-08,0.0,0.0,
هوندا سيفيك,موديل سنة 2007,47000 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,نقدا فقط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-09,2017-11-08,5.0,0.0,
سكودا اوكتافيا,موديل سنة 2015,110000 شيكل,أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,39000,5+1,إمكانية التقسيط,للبيع فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-10-09,2017-11-08,6.0,0.0,
هونداي توسان,موديل سنة 2006,60000 شيكل,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,إمكانية التقسيط,للبيع أو التبديل,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-10-09,2017-11-08,7.0,1.0,
بي ام دبليو 530,موديل سنة 2002,59000 شيكل,أسود ميتالك,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,3000,190000,4+1,إمكانية التقسيط,للبيع فقط,4,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-10-09,2017-10-24,6.0,1.0,
